Simulation Time, PET[mm/day]
03/11/2007: 12:00 AM,1.38628598130376
03/12/2007: 12:00 AM,1.55300790309294
03/13/2007: 12:00 AM,1.65590523929811
03/14/2007: 12:00 AM,1.56317644385465
03/15/2007: 12:00 AM,1.27634546390367
03/16/2007: 12:00 AM,0.601632629950474
03/17/2007: 12:00 AM,0.660360145650585
03/18/2007: 12:00 AM,1.0024721329332
03/19/2007: 12:00 AM,1.41892710191466
03/20/2007: 12:00 AM,1.5714454966628
03/21/2007: 12:00 AM,1.43559454893632
03/22/2007: 12:00 AM,1.37203431817931
03/23/2007: 12:00 AM,1.86987317474225
03/24/2007: 12:00 AM,1.84418109621431
03/25/2007: 12:00 AM,2.06621075688979
03/26/2007: 12:00 AM,1.69166617197537
03/27/2007: 12:00 AM,1.86181028211795
03/28/2007: 12:00 AM,1.78416887155623
03/29/2007: 12:00 AM,1.24056308263533
03/30/2007: 12:00 AM,1.33716855587274
03/31/2007: 12:00 AM,1.71818021193986
04/01/2007: 12:00 AM,0.69794164410421
04/02/2007: 12:00 AM,1.82335360999996
04/03/2007: 12:00 AM,2.01308320436355
04/04/2007: 12:00 AM,1.54859651260686
04/05/2007: 12:00 AM,1.17289310732903
04/06/2007: 12:00 AM,1.15101163598665
04/07/2007: 12:00 AM,0.660305793026999
04/08/2007: 12:00 AM,1.09281892319959
04/09/2007: 12:00 AM,1.063639163583
04/10/2007: 12:00 AM,1.44398707247604
04/11/2007: 12:00 AM,1.03320959319342
04/12/2007: 12:00 AM,1.55967712811059
04/13/2007: 12:00 AM,1.5118231892981
04/14/2007: 12:00 AM,1.57233667780981
04/15/2007: 12:00 AM,0.887435785993238
04/16/2007: 12:00 AM,1.4034245689178
04/17/2007: 12:00 AM,1.8052947778854
04/18/2007: 12:00 AM,1.54703553180759
04/19/2007: 12:00 AM,1.75530925871362
04/20/2007: 12:00 AM,1.85417966686643
04/21/2007: 12:00 AM,1.98733892085236
04/22/2007: 12:00 AM,2.17836365893062
04/23/2007: 12:00 AM,2.32397278220579
04/24/2007: 12:00 AM,1.86431797586612
04/25/2007: 12:00 AM,2.27499387683364
04/26/2007: 12:00 AM,1.39293646628836
04/27/2007: 12:00 AM,1.6321406588601
04/28/2007: 12:00 AM,1.77200524375758
04/29/2007: 12:00 AM,2.13049544830157
04/30/2007: 12:00 AM,2.58334625690468
05/01/2007: 12:00 AM,2.62793489538774
05/02/2007: 12:00 AM,1.32894535063746
05/03/2007: 12:00 AM,2.28994654793171
05/04/2007: 12:00 AM,1.89887704266326
05/05/2007: 12:00 AM,0.915872449152137
05/06/2007: 12:00 AM,1.76026775002529
05/07/2007: 12:00 AM,2.26317185227597
05/08/2007: 12:00 AM,2.47513703331266
05/09/2007: 12:00 AM,2.37005670200348
05/10/2007: 12:00 AM,2.49008211187817
05/11/2007: 12:00 AM,2.52951996676444
05/12/2007: 12:00 AM,1.66659115912571
